date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:13	164468/164468	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:09%20GMT	https://easebuzz.in/wire/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/wire/index.html	(from https://easebuzz.in/)
14:42:13	2509/2509	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22644ba2e3-9cd%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/recurri/recurri-icon-active.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/recurri/recurri-icon-active.svg	(from https://easebuzz.in/)
14:42:13	2070/2070	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-816%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/Neo_Icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/Neo_Icon.svg	(from https://easebuzz.in/)
14:42:14	4128/4128	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ad-1020%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/smartx/menu-icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/smartx/menu-icon.svg	(from https://easebuzz.in/)
14:42:14	2253/2253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-8cd%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/tax_icon.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/tax_icon.svg	(from https://easebuzz.in/)
14:42:14	166726/166726	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:10%20GMT	https://easebuzz.in/insta-collect/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/insta-collect/index.html	(from https://easebuzz.in/)
14:42:14	1476/1476	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22650ace96-5c4%22	https://easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/edu.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/edu.svg	(from https://easebuzz.in/)
14:42:14	1280/1280	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22650ace96-500%22	https://easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/eccom.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/eccom.svg	(from https://easebuzz.in/)
14:42:15	1827/1827	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22650ace96-723%22	https://easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/real-estate.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/real-estate.svg	(from https://easebuzz.in/)
14:42:15	1383/1383	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22650ace96-567%22	https://easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/market.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/market.svg	(from https://easebuzz.in/)
14:42:15	2474/2474	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22650ace96-9aa%22	https://easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/saas.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/use-cases-icon/saas.svg	(from https://easebuzz.in/)
14:42:15	163868/163868	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:11%20GMT	https://easebuzz.in/slices/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/slices/index.html	(from https://easebuzz.in/)
14:42:15	19014/19014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-4a46%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Aboutus.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Aboutus.svg	(from https://easebuzz.in/)
14:42:15	19953/19953	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-4df1%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Blogs.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Blogs.svg	(from https://easebuzz.in/)
14:42:16	19684/19684	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-4ce4%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/HelpDesk.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/HelpDesk.svg	(from https://easebuzz.in/)
